Lat , Long 
19.2813,-103.72707
19.2813,-103.72707
1496.870578607076,-1636.8858589015438
-26817942.12389641,-24831324.179376274
-777762233.9598627,-720062568.4061395
-804581672.9540039,-744892255.6999519
-831401111.948145,-769721942.9937643
-1582345403.7840848,-1464953187.2204967
-1609164842.7782254,-1489782874.5143085
-2413748012.602436,-2234673493.3286524
-3218331182.426637,-2979564112.142986
-3996094913.256692,-3699625043.6635003
-4800678083.08088,-4444515662.477819
-5605261252.905064,-5189406281.292133
-8340844030.307254,-7722034385.260758
-9145427200.131424,-8466925004.075056
-9950010369.955591,-9211815622.88935
-10057288125.932146,-9311134372.06459
-10191385320.90284,-9435282808.53364
-10861871295.756311,-10056024990.878883
-11666454465.580475,-10800915609.693172
-11800551660.551168,-10925064046.16222
-13838829024.105703,-12812120280.49174
-15662550875.70712,-14500539016.470774
-16467134045.531275,-15245429635.285051
-17325356093.343704,-16039979628.686947
-18129939263.167854,-16784870247.50122
-18880883555.003727,-17480101491.727875
-19739105602.81615,-18274651485.129765
-20543688772.640297,-19019542103.944035
-21321452503.470306,-19739603035.464497
-22152855112.28859,-20509323341.572575
-22984257721.106873,-21279043647.68065
-23735202012.942738,-21974274891.907295
-24593424060.755154,-22768824885.309177
-25371187791.585155,-23488885816.82963
-26175770961.409294,-24233776435.643894
-26980354131.233433,-24978667054.458157
-27811756740.05171,-25748387360.566227
-28616339909.875847,-26493277979.380486
-29420923079.69998,-27238168598.194744
-30252325688.518257,-28007888904.30281
-31807853150.17825,-29448010767.343704
-32666075197.990658,-30242560760.745575
-33738852757.75617,-31235748252.497913
-34543435927.5803,-31980638871.31217
-35374838536.39857,-32750359177.42023
-36179421706.222694,-33495249796.23448
-37010824315.04096,-34264970102.34254
-37842226923.85923,-35034690408.4506
-38646810093.68336,-35779581027.26485
-39424573824.51335,-36499641958.785286
-40229156994.33748,-37244532577.59953
-41006920725.167465,-37964593509.11997
-41865142772.979866,-38759143502.521835
-42669725942.80399,-39504034121.33608
-43474309112.62812,-40248924740.15033
-44305711721.44638,-41018645046.258385
-45083475452.27637,-41738705977.778824
-45888058622.100494,-42483596596.59307
-46719461230.918755,-43253316902.701126
-47470405522.7546,-43948548146.92775
-48274988692.57872,-44693438765.74199
-49133210740.39111,-45487988759.143845
